ProbeR	  Phi_acc
8.220	  52.4962120000
8.230	  52.5273094000
8.240	  52.5138321000
8.250	  52.5454407000
8.260	  52.3995819000
8.270	  52.3872910000
8.280	  52.3533401000
8.290	  52.2849617000
8.300	  52.2259941000
8.310	  52.1987572000
8.320	  52.1016426000
8.330	  52.1246681000
8.340	  52.1562347000
8.350	  52.0807190000
8.360	  52.1012955000
8.370	  51.9688187000
8.380	  51.9371490000
8.390	  51.8638153000
8.400	  51.8027420000
8.410	  51.8047562000
8.420	  51.7885437000
8.430	  51.7256126000
8.440	  51.6564178000
8.450	  51.6367722000
8.460	  51.6035500000
8.470	  51.6075020000
8.480	  51.5708580000
8.490	  51.4739685000
8.500	  51.4753876000
8.510	  51.3949738000
8.520	  51.2644768000
8.530	  51.1804695000
8.540	  51.0628929000
8.550	  51.0391350000
8.560	  50.9387970000
8.570	  50.9636002000
8.580	  50.8042221000
8.590	  50.8294334000
8.600	  50.6680832000
8.610	  50.6063576000
8.620	  50.6250572000
8.630	  50.4982529000
8.640	  50.5166893000
8.650	  50.4049072000
8.660	  50.3143311000
8.670	  50.3325882000
8.680	  50.1318283000
8.690	  50.1690216000
8.700	  49.8931122000
8.710	  49.7185059000
8.720	  49.6129227000
8.730	  49.4237900000
8.740	  49.3820267000
8.750	  49.2170219000
8.760	  49.2665138000
8.770	  49.0066795000
8.780	  48.9101143000
8.790	  48.6733932000
8.800	  48.5728836000
8.810	  48.3903847000
8.820	  48.2843475000
8.830	  48.1781387000
8.840	  47.8683853000
8.850	  47.8946075000
8.860	  47.2597542000
8.870	  46.9284821000
8.880	  46.2919617000
8.890	  45.5177193000
8.900	  45.1383820000
8.910	  44.7117195000
8.920	  44.2096214000
8.930	  43.5109215000
8.940	  43.3620758000
8.950	  42.5113029000
8.960	  42.6048622000
8.970	  21.1937885000
8.980	  10.4268637000
8.990	   0.0000000000
9.000	   0.0000000000
9.010	   0.0000000000
9.020	   0.0000000000
9.030	   0.0000000000
9.040	   0.0000000000
